id,edad,califica_presidente,califica_gobernador,distance_km,RBC,JDM,Nose,Ninguno,VGH,Tina,NSE,DF
347,29,9,9,151.9355701,1,0,0,0,0,0,D,1
371,44,9,4,151.6997564,0,1,0,0,0,0,D,1
750,36,9,1,6.223729995,0,1,0,0,0,0,D,3
580,54,1,1,4.705719697,1,0,0,0,0,0,D,4
104,60,5,8,16.18459928,1,0,0,0,0,0,D,5
125,47,8,9,16.24314512,0,1,0,0,0,0,D,5
134,48,1,9,16.19377596,1,0,0,0,0,0,D,5
135,45,1,9,16.26581351,1,0,0,0,0,0,D,5
154,38,1,8,63.91734759,1,0,0,0,0,0,D,5
540,35,8,8,9.763656112,0,0,1,0,0,0,D,4
246,62,9,9,76.35450847,1,0,0,0,0,0,D,5
776,70,5,10,8.228537256,1,0,0,0,0,0,D,3
376,48,8,10,152.03441,1,0,0,0,0,0,D,1
377,59,9,7,152.0546546,0,1,0,0,0,0,D,1
657,36,9,7,5.126289585,0,1,0,0,0,0,D,6
796,38,1,8,8.221962896,1,0,0,0,0,0,D,3
797,19,8,7,8.320237657,0,1,0,0,0,0,D,3
785,22,8,8,8.302524202,1,0,0,0,0,0,D,3
463,81,8,8,9.897160724,1,0,0,0,0,0,D,4
482,55,8,8,10.07962821,0,0,1,0,0,0,D,4
744,23,6,5,15.66668129,0,0,1,0,0,0,D,4
876,36,5,5,12.4218386,0,0,1,0,0,0,D,4
892,20,8,9,12.56913251,0,0,1,0,0,0,D,4
770,50,8,9,11.1712817,0,1,0,0,0,0,D,4
271,33,9,8,178.6888637,1,0,0,0,0,0,N/D,1
272,54,9,10,178.6922799,1,0,0,0,0,0,N/D,1
71,45,5,10,26.73586024,0,0,1,0,0,0,E,5
155,40,3,7,63.92206649,1,0,0,0,0,0,C+,5
290,18,9,9,178.6666828,1,0,0,0,0,0,N/D,1
319,70,9,10,91.13004135,1,0,0,0,0,0,E,5
855,77,1,1,2.162764517,0,1,0,0,0,0,C-,3
705,28,7,1,4.378869189,0,0,0,1,0,0,D+,6
81,55,7,9,16.24498427,0,0,1,0,0,0,C-,5
97,65,9,9,37.38601831,1,0,0,0,0,0,C-,2
634,61,6,10,4.722492568,1,0,0,0,0,0,C-,6
119,59,7,8,16.24427975,0,0,1,0,0,0,C-,5
130,73,8,9,16.45636173,1,0,0,0,0,0,C,5
653,35,9,9,5.229627498,0,1,0,0,0,0,C,6
654,50,8,7,5.188855948,1,0,0,0,0,0,C,6
861,26,8,8,2.891905262,0,1,0,0,0,0,C,3
250,69,8,10,76.3772624,1,0,0,0,0,0,C,5
839,54,9,5,3.081169106,0,0,0,1,0,0,C+,3
256,18,8,6,76.59881658,0,1,0,0,0,0,D+,5
283,51,8,7,178.6772982,1,0,0,0,0,0,N/D,1
732,38,9,9,5.427762006,0,1,0,0,0,0,C,6
727,22,9,8,5.339648092,0,1,0,0,0,0,C-,6
923,30,8,1,5.785168535,0,1,0,0,0,0,C-,3
84,42,8,9,16.23254644,0,0,1,0,0,0,C-,5
105,20,8,7,16.33889869,0,0,0,0,1,0,C-,5
120,42,8,8,16.23494699,0,0,0,1,0,0,C-,5
524,49,8,4,6.652110175,0,0,1,0,0,0,A/B,6
525,36,1,9,6.675787765,1,0,0,0,0,0,A/B,6
