id,sexo,edad,califica_presidente,califica_gobernador,distance_Km,nse,candidatos_gober_3,df
716,H,25,10,1,4.706564851,N/D,Otro,6
864,M,22,8,7,2.905998311,D,Otro,3
867,M,42,10,5,2.930211152,D,JDM,3
813,H,34,6,6,7.840841678,D,Otro,3
817,M,39,9,3,7.77790844,D,Otro,3
819,M,57,5,5,7.848762514,D,Otro,3
820,M,24,10,5,7.814402082,D,Otro,3
734,M,71,10,7,5.42831438,D+,JDM,6
929,M,43,10,9,5.771459737,C-,JDM,3
859,M,33,7,8,8.169297001,C,Otro,4
558,M,38,10,4,6.60424498,C-,JDM,4
921,M,48,10,8,6.403885035,D,RBC,3
512,H,33,7,7,6.372536087,A/B,RBC,4
533,H,58,7,1,6.716261715,A/B,Otro,6
529,H,28,5,1,6.776429048,C-,Otro,6
531,M,42,7,4,6.814111335,C-,Otro,6
490,M,29,10,10,7.787574228,A/B,JDM,4
506,M,32,1,5,7.728047422,D,RBC,4
515,M,35,5,8,7.774816931,D,RBC,4
886,M,41,10,1,3.107323312,D,JDM,3
874,H,18,7,7,3.076459029,D,JDM,3
736,H,35,10,10,5.761416524,D,JDM,3
737,H,45,10,6,5.752097114,D,JDM,3
740,M,40,10,5,5.756032958,D,Otro,3
794,H,45,8,5,8.20356522,D,Otro,3
605,M,19,9,8,5.4370526,A/B,Otro,6
603,M,46,9,6,5.29188697,C+,JDM,6
447,H,74,10,8,4.979234516,C-,JDM,6
729,H,24,10,7,5.427024149,C,JDM,6
757,M,19,10,7,6.250187132,D+,RBC,3
651,H,22,9,9,11.73788088,C-,RBC,4
660,M,36,10,9,11.6933475,A/B,JDM,4
680,H,36,8,8,11.7393846,C,JDM,4
659,M,25,8,7,11.73855792,C,JDM,4
670,H,29,8,9,11.73875534,C,RBC,4
674,H,35,10,5,11.76244001,A/B,Otro,4
667,H,72,10,6,11.81884774,C+,JDM,4
679,H,48,9,9,11.76118282,C,Otro,4
678,M,35,7,7,11.75936261,C,Otro,4
538,H,36,10,10,9.986001354,D+,JDM,4
540,H,35,8,8,9.763656112,D,Otro,4
551,M,62,9,8,9.902148287,D+,Otro,4
565,M,46,9,9,9.157332215,C,JDM,4
918,M,25,9,10,7.182743093,C-,JDM,3
915,H,37,10,1,7.219996199,C-,JDM,3
916,M,22,9,1,7.186242333,C-,JDM,3
858,H,63,10,1,8.18012318,D,JDM,4
699,H,60,10,1,12.68729521,A/B,Otro,4
686,M,35,5,9,12.83416202,C+,RBC,4
698,H,26,10,10,12.77610768,C+,Otro,4
700,H,33,10,7,12.77270035,C+,JDM,4
725,M,27,4,8,12.84545203,C,RBC,4
514,H,39,4,9,11.13819189,D+,RBC,4
513,H,42,10,10,11.13551214,C,RBC,4
842,H,40,5,5,10.39923394,C+,Otro,4
846,M,29,10,6,10.39168164,C+,JDM,4
833,H,40,10,10,10.20740304,C+,RBC,4
466,M,78,9,10,9.755524583,D,Otro,4
482,M,55,8,8,10.07962821,D,Otro,4
811,M,61,10,8,10.63723064,D+,Otro,4
804,H,55,10,10,10.84402455,A/B,JDM,4
744,M,23,6,5,15.66668129,D,Otro,4
877,H,50,10,1,12.47844535,D,JDM,4
870,H,32,10,10,12.48129699,D,Otro,4
892,H,20,8,9,12.56913251,D,Otro,4
770,H,50,8,9,11.1712817,D,JDM,4
828,H,20,9,9,10.180445,N/D,JDM,4
835,M,40,4,8,10.29510689,N/D,RBC,4
500,H,25,10,5,11.72967051,N/D,JDM,4
593,M,99,8,8,7.67380533,N/D,Otro,4
658,H,45,1,10,11.82248564,N/D,RBC,4
805,H,25,7,8,8.13179816,N/D,JDM,3
809,M,34,7,7,8.119522103,N/D,RBC,3
872,M,50,10,4,12.56979377,N/D,Otro,4
873,H,62,10,5,12.58686544,N/D,Otro,4
