id,sexo,edad,califica_presidente,califica_gobernador,distance_Km,nse,candidatos_gober_3,df
429,H,38,9,8,6.982680515,D,RBC,6
398,M,46.62189616,8,8,6.979166258,D,Otro,6
426,H,70,10,8,6.972605338,D,JDM,6
428,M,36,8,8,6.974723213,D,Otro,6
418,M,52,10,10,8.128106845,D,Otro,6
422,M,44,10,8,8.231576973,D,RBC,6
435,H,54,9,8,8.067906704,D,RBC,6
395,H,68,10,10,7.855154029,D,JDM,6
417,M,36,10,10,8.120642866,D,JDM,6
4,H,51,8,7,35.18686218,D,Otro,2
22,M,74,10,6,35.22262025,D,JDM,2
24,M,66,10,6,35.19874537,D,JDM,2
28,M,73,10,6,35.22167791,D,JDM,2
29,M,36,10,5,35.21614637,D,JDM,2
46,M,48,10,8,35.17020037,D,RBC,2
47,M,40,8,6,35.16866221,D,Otro,2
49,H,57,10,8,35.15383437,D,JDM,2
58,H,18,7,1,35.20688855,D,Otro,2
60,M,58,10,7,35.29893702,D,JDM,2
81,M,55,7,9,16.24498427,C-,Otro,5
91,M,24,10,5,37.35927752,D,RBC,2
97,M,65,9,9,37.38601831,C-,RBC,2
98,H,32,10,7,37.45774275,C-,JDM,2
107,M,73,8,8,16.41482173,D,Otro,5
112,M,24,10,8,37.46354529,C-,JDM,2
115,H,73,10,10,37.2350958,D,JDM,2
119,M,59,7,8,16.24427975,C-,Otro,5
130,H,73,8,9,16.45636173,C,RBC,5
141,H,31,9,9,16.19664947,D,Otro,5
147,H,75,10,1,64.81589998,D,JDM,5
149,H,35,10,6,63.9290949,C+,JDM,5
173,M,48,10,5,64.79342011,D,JDM,5
179,M,70,10,10,63.91889931,D,JDM,5
182,M,30,10,10,153.4669919,E,RBC,1
183,M,29,10,10,153.4642019,E,RBC,1
195,M,66,10,7,153.762327,D,JDM,1
199,H,42,9,8,153.26143,D,RBC,1
202,M,19,10,10,153.3035352,D,JDM,1
231,M,18,10,10,153.5238303,D,RBC,1
233,H,65,9,9,153.4199793,D,RBC,1
234,M,68,10,9,153.3974546,D,Otro,1
238,H,86,9,9,153.6507605,D,JDM,1
245,M,24,10,10,76.41083133,C,Otro,5
250,M,69,8,10,76.3772624,C,RBC,5
251,H,53,10,7,76.42299681,C,RBC,5
256,M,18,8,6,76.59881658,D+,JDM,5
260,M,21,10,10,76.6404286,D+,RBC,5
283,H,51,8,7,178.6772982,N/D,RBC,1
301,H,54,9,5,91.27779138,D,RBC,5
321,H,28,10,9,151.9204865,D,RBC,1
343,M,50,9,8,151.6974762,D,Otro,1
346,M,38,10,8,151.6926933,D,Otro,1
349,M,44,10,10,151.9711178,E,RBC,1
353,M,60,10,7,151.8046358,D,RBC,1
359,H,53,8,7,152.1123354,D,RBC,1
360,M,45,10,10,152.2011364,D,Otro,1
369,M,50,9,8,152.1311447,D,RBC,1
381,M,58,5,8,91.252372,D,RBC,5
441,M,68,10,8,7.052467739,N/D,JDM,6
23,H,79,10,6,35.20595503,D,JDM,2
84,H,42,8,9,16.23254644,C-,Otro,5
87,M,45,10,9,37.23690367,D,Otro,2
100,M,48,10,10,37.37630441,D,RBC,2
105,M,20,8,7,16.33889869,C-,Otro,5
170,M,31,1,6,64.85407338,D,Otro,5
175,H,65,9,7,64.75169623,D,JDM,5
280,H,31,7,4,178.6702778,N/D,Otro,1
33,H,69,6,9,35.14061247,C-,RBC,2
36,H,45,9,9,35.28347776,D,JDM,2
56,M,80,10,7,35.17253211,D,RBC,2
61,M,59,6,10,35.29893702,D,RBC,2
201,H,35,10,10,153.2869708,D,JDM,1
224,M,82,10,8,153.2680517,E,JDM,1
230,M,80,10,8,153.2261629,D,JDM,1
232,M,70,10,10,153.2003477,D,JDM,1
350,M,21,9,9,152.1248524,D,JDM,1
361,H,42,8,8,152.2429767,D+,JDM,1
442,H,54,7,5,7.046976647,N/D,JDM,6
8,M,42,8,6,35.2202822,D,JDM,2
30,M,38,10,8,35.21095778,D,JDM,2
57,H,42,8,1,35.17252831,D,Otro,2
88,M,20,10,5,37.35834169,D,RBC,2
152,M,22,10,10,153.4139474,E,Otro,1
206,M,23,8,7,153.8548801,D+,RBC,1
367,M,35,8,8,152.1727691,D,RBC,1
13,M,55,5,5,35.23075879,D,JDM,2
42,H,65,10,1,35.17843368,D,JDM,2
136,M,53,5,5,16.33034863,C-,RBC,5
138,H,52,10,3,16.29115602,C-,JDM,5
204,H,85,10,5,153.5665638,D,JDM,1
257,H,18,8,7,76.56043505,D+,JDM,5
306,H,63,9,9,91.42845209,D,RBC,5
293,H,63,10,7,178.5933333,C-,JDM,1
2,M,36,10,10,35.16850335,C,JDM,2
289,M,67,10,5,178.5929988,C-,JDM,1
3,H,70,10,7,35.17075943,D,JDM,2
291,M,40,10,5,178.6492071,D,RBC,1
5,H,60,9,7,35.18150844,D,JDM,2
14,M,65,10,5,26.73586024,E,JDM,5
271,H,33,9,8,178.6888637,N/D,RBC,1
16,M,43,7,10,26.62659828,D,RBC,5
272,H,54,9,10,178.6922799,N/D,RBC,1
286,M,33,10,5,178.7988278,D,RBC,1
19,M,48,10,7,26.79770673,D,Otro,5
20,M,26,10,8,35.14791942,D,RBC,2
25,M,55,10,5,35.19644009,D,JDM,2
26,H,69,10,5,35.18412,D,JDM,2
32,H,55,10,8,35.19519591,D,JDM,2
35,M,36,10,10,35.22105198,D,JDM,2
62,H,21,10,10,26.86576823,D,JDM,5
37,H,30,8,7,35.2643311,D,JDM,2
6,H,60,9,8,26.62214493,D,JDM,5
15,M,71,9,8,26.62214493,D,RBC,5
45,M,36,10,1,35.17899871,D,Otro,2
75,H,61,7,9,26.62138537,D,RBC,5
51,M,66,10,5,35.16078544,D,JDM,2
77,M,69,9,1,26.61671725,D,JDM,5
59,H,67,9,8,35.24502158,D,JDM,2
71,H,45,5,10,26.73586024,E,Otro,5
74,M,61,10,10,26.77991219,D,RBC,5
73,M,36,1,10,26.81735675,D,RBC,5
78,M,60,10,9,16.31223965,C-,RBC,5
102,M,33,10,6,37.50932352,D,RBC,2
111,M,25,10,10,37.37205947,C-,JDM,2
54,H,69,10,8,26.8033262,D,JDM,5
113,M,33,10,9,37.23579776,D,JDM,2
117,M,33,9,6,16.20257819,D,Otro,5
155,H,40,3,7,63.92206649,C+,RBC,5
157,M,58,7,7,153.2971476,D,JDM,1
159,M,75,10,5,16.39075849,D,JDM,5
160,H,27,10,7,16.40859925,D,JDM,5
161,M,69,10,10,16.40346902,C-,JDM,5
430,H,36,9,9,7.043062165,D,Otro,6
166,M,27,10,10,63.98023777,D,JDM,5
167,H,65,10,8,64.02759406,C+,JDM,5
176,M,35,10,10,153.2893603,E,JDM,1
401,M,28,8,8,7.090338594,D,Otro,6
188,H,27,9,10,153.2752894,D,JDM,1
402,M,48,10,10,7.090338594,D,JDM,6
210,H,65,10,5,153.8229327,D,JDM,1
213,H,63,10,5,153.8577452,D,JDM,1
399,H,36,8,8,6.984058931,D,RBC,6
215,M,33,10,4,153.7109832,D,JDM,1
235,H,42,9,9,153.3208835,D,JDM,1
242,H,55,10,8,76.62227859,D+,RBC,5
423,H,25,6,10,7.898558478,D,RBC,6
263,H,50,10,8,76.70807635,D,JDM,5
267,H,48,1,8,76.76715689,D,RBC,5
282,H,29,10,7,178.6133601,N/D,JDM,1
290,M,18,9,9,178.6666828,N/D,RBC,1
414,M,36,4,7,7.897411167,D,Otro,6
433,H,34,10,8,8.049867637,D,JDM,6
298,M,20,10,10,91.40582976,D,Otro,5
299,H,53,10,10,91.32117824,D,RBC,5
309,H,30,10,6,91.44547538,D,Otro,5
384,M,40,10,10,8.024940417,D,RBC,6
312,H,30,10,8,91.3593344,D,JDM,5
382,M,44,10,10,8.025852184,D,RBC,6
389,M,35,10,10,8.021317116,D,RBC,6
314,M,80,10,5,91.28444069,D+,RBC,5
411,H,67,10,10,7.853387542,D,JDM,6
317,M,45,10,8,91.18154684,D,JDM,5
319,M,70,9,10,91.13004135,E,RBC,5
320,M,34,10,2,91.14961038,D,JDM,5
391,M,40,10,10,8.023871317,D,RBC,6
328,M,38,10,8,152.0280055,D,JDM,1
394,M,66,10,10,8.020253415,D,RBC,6
330,H,60,9,5,151.908978,D,RBC,1
420,H,30,8,1,8.205760457,D,JDM,6
385,H,57,10,10,8.026032595,D,RBC,6
387,H,56,10,10,8.026032595,D,RBC,6
409,H,34,8,8,7.984336269,D,RBC,6
344,M,36,8,8,151.6990786,D,Otro,1
345,H,50,10,10,151.6980873,D,Otro,1
438,M,29,10,10,8.093083594,D,JDM,6
358,M,55,8,9,152.1164001,D,RBC,1
366,M,48,10,6,152.1398846,D+,JDM,1
368,M,72,10,9,152.2301819,D,JDM,1
372,M,70,10,8,151.693772,D,JDM,1
82,M,24,10,10,16.28230645,C-,RBC,5
83,H,48,10,8,37.28856566,D,RBC,2
120,H,42,8,8,16.23494699,C-,Otro,5
31,M,42,10,8,35.20016437,D,JDM,2
48,M,30,10,1,35.16044202,D,JDM,2
50,H,73,10,6,35.16052345,D,JDM,2
225,H,85,10,5,153.2681144,E,JDM,1
226,M,34,10,7,153.2661641,D,JDM,1
229,M,60,10,7,153.2531386,D,JDM,1
243,H,56,10,10,76.64622781,D,JDM,5
247,M,32,10,6,76.41432093,C,JDM,5
274,M,25,10,9,91.34742597,D+,RBC,5
333,M,41,10,7,151.879146,D,JDM,1
41,M,57,1,8,35.17126455,D,RBC,2
90,H,29,10,7,37.44204177,C-,Otro,2
101,M,66,10,5,37.45219651,D,RBC,2
103,H,74,4,10,16.19627211,C-,RBC,5
123,M,79,10,6,16.18984325,D,RBC,5
143,M,70,10,6,63.91721653,D,RBC,5
200,M,20,10,10,153.3175826,D,RBC,1
277,H,62,6,10,178.6871356,N/D,RBC,1
284,M,25,8,8,153.4514064,D,RBC,1
307,H,42,7,8,91.34082459,D,RBC,5
329,M,99,10,10,151.9138409,D,RBC,1
374,M,43,9,7,151.8106859,D,JDM,1
43,M,26,10,1,35.1781766,D,JDM,2
86,H,60,10,7,16.24193415,C-,RBC,5
99,M,27,10,10,37.51612751,C-,Otro,2
122,M,26,10,10,16.19893546,D,RBC,5
132,H,53,10,9,16.33918799,C-,JDM,5
133,H,28,2,9,16.28737662,C-,RBC,5
156,H,47,1,10,64.02351886,C+,RBC,5
227,M,18,8,10,153.2899221,D,JDM,1
237,H,19,10,10,76.64200911,D,RBC,5
252,H,33,10,8,76.65374575,D,JDM,5
266,H,44,1,6,76.66173382,D,Otro,5
276,M,41,10,8,91.35499641,D+,JDM,5
310,H,30,8,9,91.44463974,D,RBC,5
316,H,31,5,6,91.19608497,D,RBC,5
318,H,19,1,8,91.15727369,D,RBC,5
364,H,34,10,5,152.0776967,D,JDM,1
