Name,Folder Path,Inicio del informe,Fin del informe,Nombre del anuncio,Entrega del anuncio,Nombre del conjunto de anuncios,Puja,Tipo de puja,Presupuesto del conjunto de anuncios,Tipo de presupuesto del conjunto de anuncios,Último cambio significativo,Configuración de atribución,Resultados,Indicador de resultado,Alcance,Impresiones,Coste por resultados,Clasificación por calidad,Clasificación por porcentaje de interacción,Clasificación por tasa de conversión,Importe gastado (MXN),Fin,Clasificacion,Lugar,Objetivo,Red Social,Dias_transcurridos,Clasificacion.Descripción,Lugar.Descripción,Objetivo.Descripción,Red_Social.Descripción,Nombre_corto_anuncio
"RZB Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-06 00:00:00.000,2024-03-06 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",18305,"video_thruplay_watched_actions",27853,29362,0.064019,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",1171.87,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",25,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-01-mar-2024-1-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-01 00:00:00.000,2024-03-01 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Corto","archived","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",19003,"video_thruplay_watched_actions",45898,50965,0.062009,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",1178.36,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",30,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Corto"
"RZB Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-02 00:00:00.000,2024-03-02 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Corto","archived","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",61722,"video_thruplay_watched_actions",95285,103887,0.063299,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",3906.95,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",29,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Corto"
"RZB Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-02 00:00:00.000,2024-03-02 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",32997,"video_thruplay_watched_actions",60740,65298,0.075056,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",2476.63,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",29,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-03-mar-2024-3-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-03 00:00:00.000,2024-03-03 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Corto","archived","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",,"",0,0,,"-","-","-",0,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",28,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Corto"
"RZB Púrpura-Analytics-Anuncios-03-mar-2024-3-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-03 00:00:00.000,2024-03-03 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",121235,"video_thruplay_watched_actions",187664,231018,0.074674,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",9053.11,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",28,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-04 00:00:00.000,2024-03-04 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",57271,"video_thruplay_watched_actions",106276,115545,0.065963,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",3777.74,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",27,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-05 00:00:00.000,2024-03-05 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",113740,"video_thruplay_watched_actions",162583,184576,0.06199,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",7050.77,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",26,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-06 00:00:00.000,2024-03-06 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",37264,"video_thruplay_watched_actions",60155,60480,0.063996,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",2384.73,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",25,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-07 00:00:00.000,2024-03-07 00:00:00.000,"24030602RZBSPOTGENERYUCA18-MAHYMTHRIN Jingle","inactive","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",33148,"video_thruplay_watched_actions",115956,130976,0.053662,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",1778.79,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",24,"Spots","Yucatán","ThruPlay","Instagram","Jingle"
